start_node,non_cost,non_hospital,em_cost,em_hospital,cost_reduction,pct_reduction
1,0.014,F10,0.014,F10,0.0,0.0
2,15.675,F9,15.675,F9,0.0,0.0
3,0.019,F9,0.019,F9,0.0,0.0
4,43.88999999999999,F9,43.88999999999999,F9,0.0,0.0
5,33.915,F9,33.915,F9,0.0,0.0
6,49.138,F9,49.138,F9,0.0,0.0
7,94.52900000000001,F9,94.52900000000001,F9,0.0,0.0
8,48.26999999999999,F9,48.26999999999999,F9,0.0,0.0
9,37.529,F9,37.529,F9,0.0,0.0
10,39.989,F9,39.989,F9,0.0,0.0
11,17.941999999999997,F9,17.941999999999997,F9,0.0,0.0
12,43.373000000000005,F10,43.373000000000005,F10,0.0,0.0
13,122.11400000000002,F9,122.11400000000002,F9,0.0,0.0
14,161.751,F9,161.751,F9,0.0,0.0
15,90.129,F9,90.129,F9,0.0,0.0
F1,32.407,F9,32.407,F9,0.0,0.0
F2,7.493,F9,7.493,F9,0.0,0.0
F3,39.989,F9,39.989,F9,0.0,0.0
F4,0.049,F9,0.049,F9,0.0,0.0
F5,0.038,F9,0.038,F9,0.0,0.0
F6,33.952999999999996,F9,33.952999999999996,F9,0.0,0.0
F7,101.42700000000002,F9,101.42700000000002,F9,0.0,0.0
F8,41.88999999999999,F9,41.88999999999999,F9,0.0,0.0
F9,0.0,F9,0.0,F9,0.0,0
F10,0.0,F10,0.0,F10,0.0,0
